Time_Stamp_(ISO8601), PowerGenerationAC_(W), TodaysGeneration_(kWh), PowerGenerationDC_(W), TotalEnergy_(kWh), EnergyThisMonth_(kWh), EnergyLastMonth_(kWh), EnergyLastDay_(kWh), EnergyThisYear_(kWh), EnergyLastYear_(kWh)
2023-11-15T09:00:00z, 8150.00, 59.60, 8228.00, 79538.00, 956.00, 2188.00, 67.30, 23323.00, 26782.00
2023-11-15T09:01:00z, 8250.00, 59.70, 8320.00, 79538.00, 956.00, 2188.00, 67.30, 23323.00, 26782.00
2023-11-15T09:02:00z, 8180.00, 59.90, 8186.00, 79538.00, 956.00, 2188.00, 67.30, 23323.00, 26782.00
2023-11-15T09:03:00z, 8100.00, 60.00, 8132.00, 79538.00, 956.00, 2188.00, 67.30, 23323.00, 26782.00
2023-11-15T09:04:00z, 8010.00, 60.10, 8019.00, 79538.00, 956.00, 2188.00, 67.30, 23323.00, 26782.00
2023-11-15T09:05:00z, 8000.00, 60.30, 7979.00, 79538.00, 956.00, 2188.00, 67.30, 23323.00, 26782.00
2023-11-15T09:06:00z, 8040.00, 60.40, 7978.00, 79539.00, 957.00, 2188.00, 67.30, 23323.00, 26782.00
2023-11-15T09:07:00z, 7830.00, 60.50, 7755.00, 79539.00, 957.00, 2188.00, 67.30, 23324.00, 26782.00
2023-11-15T09:08:00z, 7770.00, 60.70, 7652.00, 79539.00, 957.00, 2188.00, 67.30, 23324.00, 26782.00
2023-11-15T09:09:00z, 7550.00, 60.80, 7576.00, 79539.00, 957.00, 2188.00, 67.30, 23324.00, 26782.00
2023-11-15T09:10:00z, 7600.00, 60.90, 7712.00, 79539.00, 957.00, 2188.00, 67.30, 23324.00, 26782.00
2023-11-15T09:11:00z, 7500.00, 61.10, 7474.00, 79539.00, 957.00, 2188.00, 67.30, 23324.00, 26782.00
2023-11-15T09:12:00z, 7380.00, 61.20, 7379.00, 79539.00, 957.00, 2188.00, 67.30, 23324.00, 26782.00
